class_id,class_name,fold,train_samples,test_samples,ap,accuracy,precision,recall
1,person,1,39908,9950,0.5601300319178089,0.5650251256281407,0.6806253489670575,0.24502512562814072
1,person,2,40034,9824,0.5344422660062949,0.5490635179153095,0.6577225130890052,0.20460097719869708
1,person,3,39858,10000,0.5174278699408408,0.5432,0.6115702479338843,0.2368
1,person,4,39774,10084,0.5244514053138586,0.5439309797699325,0.635474006116208,0.20606902023006743
1,person,5,39858,10000,0.5163174582826193,0.5389,0.627373935821873,0.1916
2,car,1,35496,8744,0.5159013273438893,0.5314501372369624,0.5738056897477187,0.24451052150045746
2,car,2,35184,9056,0.532361675231646,0.5437279151943463,0.6398305084745762,0.20008833922261485
2,car,3,35440,8800,0.5089540414424716,0.5327272727272727,0.6182266009852216,0.17113636363636364
2,car,4,35400,8840,0.5081062291359086,0.5312217194570136,0.5931174089068826,0.19886877828054297
2,car,5,35440,8800,0.5120634208509192,0.5339772727272727,0.5944409349336702,0.21386363636363637
3,motorcycle,1,7400,2000,0.5354257320313416,0.548,0.6518987341772152,0.206
3,motorcycle,2,7400,2000,0.5207422454145828,0.505,0.5263157894736842,0.1
3,motorcycle,3,7600,1800,0.533043428517376,0.5255555555555556,0.5793103448275863,0.18666666666666668
3,motorcycle,4,7600,1800,0.5379032885178979,0.5388888888888889,0.625,0.19444444444444445
3,motorcycle,5,7600,1800,0.5232174924208272,0.5438888888888889,0.6222910216718266,0.22333333333333333
