class_id,class_name,total_samples,positive_samples,negative_samples,training_ap,training_accuracy,training_precision,training_recall,cv_folds,cv_ap_mean,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,classifier_intercept
1,person,49858,24929,24929,0.5409873028499189,0.5533715752737776,0.6529134582231927,0.22788719964699747,5,0.5305538062922845,0.5480239246626766,0.6425532103856055,0.21681902461138103,0.0005101034184917808
2,car,44240,22120,22120,0.5284723484103602,0.5439647377938517,0.6189020662672698,0.22884267631103075,5,0.5154773388009669,0.5346208634685736,0.6038842286096139,0.20569352780072309,0.00010498610936338082
3,motorcycle,9400,4700,4700,0.5418470484006269,0.538936170212766,0.6269070735090153,0.19234042553191488,5,0.5300664373804052,0.5322666666666667,0.6009631780300625,0.18208888888888888,0.0031405764166265726
